¹,1,2,3,4,5,6,7,7-2,7-v,8,9,9-2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,21,4,"1982
https://youtu.be/TRJnaA-L1qE",2,2,"15
https://youtu.be/Q9a6lBX69Hg","128
https://youtu.be/vHTsVqomyUU","3
https://youtu.be/m0WoOPqyTRA",2832,"256
https://youtu.be/5koJTQNhWOU","418 86 
https://youtu.be/SFqZKTagC_0",3,42,"94
https://youtu.be/Ywq2Eg3ssPQ",2,"510
https://youtu.be/EB-mjs9KdOw",6,2,"802165
https://youtu.be/gHNVNGYU8_k",1425 9080,617,"11
https://youtu.be/WO_2P87SLSs","3
https://youtu.be/WO_2P87SLSs","7 8
https://youtu.be/WO_2P87SLSs","134
https://youtu.be/hpYl3cnMiq4",301,5 6 126,574992 967,118 10000,75 508801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,16,4,"533849
https://youtu.be/a219Rs-2J7I","2
https://youtu.be/8zi5_eMbJsc",1,"36
https://youtu.be/C4ILBcTaDvM","4
https://youtu.be/JcAJA_lVHao","2
https://youtu.be/IGeVzhMqabs",10248,"324
https://youtu.be/yzNNgILRw0M","942
https://youtu.be/BddSr_P6CNU",2,27,"200
https://youtu.be/TPvwqK6Kt0g",2,"126
https://youtu.be/bIINfbzVMh4","3, 8, 13, 18",3,"87810480
https://youtu.be/JaMm2UOESoU",494 1874,5,14,5,9 10,"173
https://youtu.be/WjGaOkaW8-w",201,14 9 179,"1 2943467
2 2943491
3 2943503
4 2943527",113 9999,621 103914584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,17,1,"1897
https://youtu.be/AOGt8eJbidE","1
https://youtu.be/r4feGD-R9Vk",2,"20
https://youtu.be/czs62pzSVlM","64
https://youtu.be/WrNfJrGKPyA","5
https://youtu.be/Qj3BW_fo9Zo",9224,"37
https://youtu.be/DX2uCzyjs7s","218
https://youtu.be/sT0Y7XSa8Kk",4,31,"100
https://youtu.be/I_WgF3SfJSM",3,"62
https://youtu.be/7bAvagq4JCs","6, 31, 56, 81",2,"40
https://youtu.be/4NvLMmLgfiI",119 9421,882,15,3,11 12,"115
https://youtu.be/yG6yiMRw61A",57,"1 4 Cccc
2 3 Ccc
3 1 C
4 2 Cc","1 4671071
2 4671077
3 4671097
4 4671101",13 1381,250 20069147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,28,3,"27679342
https://youtu.be/jBJW31N75OM","3
https://youtu.be/iVffMKhekq8",1,"2400
https://youtu.be/lYrkEPuBIhw","2
https://youtu.be/rjzlshVIkrc","128
https://youtu.be/gUm5n_y09no",À216,"175
https://youtu.be/2_Nu9uQbWtM","294
https://youtu.be/C1FrQyxBp2w",2,9,"320
https://youtu.be/FY0zjhazeQ0",3,"30
https://youtu.be/SXT0cmCjVyE","8,72","3
https://youtu.be/2tI0pG91W-I","46
https://youtu.be/rofp430NJJk",26 2586,8,13,4,8 9,"83
https://youtu.be/X-b2kwTALC",64,"1 9 ccccccccC
2 8 cccccccC
3 8 cccccccC
4 6 cccccC
5 7 ccccccC
6 8 cccccccC","1 4202897
2 4202899
3 4202903
4 4202911
5 4202923
",7354 111,3054 455301718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,17,1,"88479
https://youtu.be/GPRwCyta6Os","2
https://youtu.be/-bKgRn9gZXk",2,"16
https://youtu.be/ue6LATSMbss","5
https://youtu.be/jpUe1TMNvnE","20
https://youtu.be/5MoZ0a9wqz8",A120,"781
https://youtu.be/-xecr8SEfno","12
https://youtu.be/12mhGsAygKc",4,22,"1100
https://youtu.be/RdjqdNFgkOE",1,"ÍÂÅÀ
https://youtu.be/ir-GzcL2zYM","5,80","2
https://youtu.be/YUqga-m3n8A","655360
https://youtu.be/JT0oJxFpzyU",1176 3723,446,16,8 15,12,"116
https://youtu.be/O2VDhIRjCgY",247,"18
AAACCAAABBBCBBB BBBCCCCCCABCCCC
AAA2ccAAABBB1cB B6ccccccAB4cccc","1 1547347
2 1547383
3 1547389
4 1547407",6111 190,1063 151540169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,11,4,"CHINA
https://youtu.be/ec1Dcqz8ipw","4
https://youtu.be/HWoooHc2VxQ",1,"50
https://youtu.be/Os8Fh9v3ZiA","8
https://youtu.be/UFKGabH3G7s","45
https://youtu.be/K40_BU2mwF0",Á6,"369
https://youtu.be/pgkywKhknIA","27
https://youtu.be/9f_B56dKO4U",3,14,"120
https://youtu.be/dTLZMpePSGA",2,"HCEA
https://youtu.be/dshfUTV8ye8","7,56","4
https://youtu.be/QoadYiXcJQQ","121757
https://youtu.be/YMtanIrNVYw",585 9189,15,18,9 17,14,"160
https://youtu.be/vBye-TeeCek",308,"17
AAACCAAABBBCBBB AABBBBBBCCCABCC
AAA1C!AAABBB2CB BBBB16C!!AB17C!","1 4837187
2 4837201
3 4837213
4 4837219
5 4837223",11493372 4877,2996 454694482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8,3,"2129900
https://youtu.be/HT50-qLb-C4","3
https://youtu.be/8uO3bIXok8k",2,"405
https://youtu.be/5GdpmPwdpBw","1
https://youtu.be/QiYntHv0jyI","80
https://youtu.be/70A5kPV51Qo",115,"2101
https://youtu.be/JwpnCiymtCA","16
https://youtu.be/7LrDVHzmTfM",3,13,"600
https://youtu.be/Lzf9_GiDEv0",3,"DEFA
https://youtu.be/Vq0SeoAkt4M",22,"1
https://youtu.be/5Uyn0j26fuY","180224
https://youtu.be/yok3kwCkZUw",723 -3115,2936,21,7 20,18,"6
https://youtu.be/JAg_EsIrheQ",232,"14
AAACBBBCBBBBCCAAAAAABBBBBBBBCCAAAAA
24CCCCCCCCCCCCCCCCCCCCCCCC1024AAABB","1 4301623
2 4301669
3 4301699
4 4301701
5 4301707",331 98715310,1239 151970679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,13,2,"REPUBLIC
https://youtu.be/KiqDjoXKlpk","3
https://youtu.be/3J9Z2TeVdvY",4,"320
https://youtu.be/n5z1SiXfOi0","10
https://youtu.be/tZKRfMbspnQ","95
https://youtu.be/dt4lKRCXCVU",1465,"91
https://youtu.be/5ECYO301d8M","18
https://youtu.be/D4v-8hpUAoc",4,35,"1000
https://youtu.be/GDHnMBLQ328",3,"ECFA
https://youtu.be/flZgfOBnl0o",4,"4
https://youtu.be/3koEAIwyo8c","92
https://youtu.be/wlNa6cKgB-0",350 -7008,1874,41,3,12 38,"24
https://youtu.be/ayxfyTO8tEg",52,12 129,"1 2358827
2 2358841
3 2358859
4 2358877
5 2358887",36 34495210,115110 410884352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,11,4,"69
https://youtu.be/_spo9RBpCqY","4
https://youtu.be/TSrjmrRdvyI",1,"36
https://youtu.be/ld38DNmPHB8","54
https://youtu.be/DPpUfoPN8fM","15
https://youtu.be/EU-V--R-K5w",1372,"671
https://youtu.be/KXVgKIJuSK4","34
https://youtu.be/NkBfuqX-2tw",2,17,"390
https://youtu.be/SDzaEVb48Xw",4,"DFDH
https://youtu.be/ZIvz_yMEQGg",5,"3
https://youtu.be/hzwHkz18K98","64
https://youtu.be/AAf6XsFoKR0",2057 192,8558,34,1,11 32,"22
https://youtu.be/tyDNZEP2z-4",39,18 145,"1 4730729
2 4730771
3 4730779
4 4730807
5 4730809
6 4730813",4885 900,64573 189977078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5,3,"76
https://youtu.be/eoOuiUB3-ks","3
https://youtu.be/H45Deo_oT5Q",2,"211
https://youtu.be/exzRluHj-5Q","16
https://youtu.be/WsRESQGvdgk","80
https://youtu.be/975st8Gpo0Y",5290,"4651
https://youtu.be/yO9vIqIRrjk","17
https://youtu.be/wrDz7u_C34Q",4,242,"400
https://youtu.be/WHkeXnw7vrg",1,"CECH
https://youtu.be/KEKD2Wf9kB4",6,"3
https://youtu.be/TLyJ7mW8Ts4","842
https://youtu.be/gBmFjOFQrG4",8515 125,245937,14,3,12 39,"32
https://youtu.be/bUKRDxI30IY",35,72 148,"1 2484311
2 2484319
3 2484323
4 2484331
5 2484353
6 2484359",2 50725296,117046 411037387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,1,"319862
https://youtu.be/KfHO5z95iHE","1
https://youtu.be/vfdCdqIDZ-s",2,"13
https://youtu.be/_jGuYbZPUaE","13
https://youtu.be/my9B6o7tMFw","8
https://youtu.be/EKsXPITLsWk",23070,"13
https://youtu.be/yYzHNq6mBLM","18
https://youtu.be/nrAx_pylPqo",8,17,"640
https://youtu.be/ZBC5RUnCIDM",1,"DFBH
https://youtu.be/BvOnCf692-o",3,"1
https://youtu.be/kzGjiIPGfDc","32
https://youtu.be/7bdGfhKi1d8",774 4092,58963,21,22 42,24,"11
https://youtu.be/0yzOY35sT9U",17,62 155,"1 1371089
2 1371103
3 1371107
4 1371113
5 1371119
6 1371121",3183529 56263918,61777 190410765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,12,4,"30
https://youtu.be/A61BpVVNCAQ","1
https://youtu.be/2wt9L-kXdwo",3,"54
https://youtu.be/cWDu0-VDxU8","200
https://youtu.be/mYw4d_8f6yQ","24
https://youtu.be/ZMABSkExChY",60,"113
https://youtu.be/QIiz6vo89G0","5584
https://youtu.be/_XRjy279e7Q",2,186,"7
https://youtu.be/O9D8dEigSso",4,"BFEH
https://youtu.be/Mi7osRiVQPw",4,"4
https://youtu.be/YRvCtVifMzI","285
https://youtu.be/lOJunOqWsiU",851 335,1986,25,26 50,28,"19
https://youtu.be/qUcGjnX4zdo",17,19 156,"1 2532433
2 2532437
3 2532449
4 2532451
5 2532479
6 2532487",2351097 54751679,135266 409953886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,14,4,"207
https://youtu.be/nUFpTQczrxc","1
https://youtu.be/3Nmj7Hsv1ho",2,"100
https://youtu.be/4HxbpUkdjR8","3
https://youtu.be/yvsj0cT5w0c","8
https://youtu.be/gQdv8faLEBc",6,"821
https://youtu.be/hD87IgngcS4","71879 70609
https://youtu.be/rYR3u_JZfWY",3,16,"8
https://youtu.be/kMRDb9nJgUo",4,"DFFH
https://youtu.be/Hav95MQG-a8",4,"1
https://youtu.be/NzX2IcX94RI","148176
https://youtu.be/H5PEB1sCXvA",147061  823538,30,45,46 90,48,"35
https://youtu.be/n43USDf6Bo0",28,22 153,"1 3144509
2 3144527
3 3144529
4 3144539
5 3144551
6 3144571
7 3144587
8 3144599",6000514 99161667,62276 190343719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,11,3,"19
https://youtu.be/16Jx9QVxE8s","3
https://youtu.be/MuQu1aApjXo",3,"38880
https://youtu.be/A2rT7NlgsJE","1
https://youtu.be/2MkCSE_sihg","100
https://youtu.be/5_rJV_sIF38",180,"624
https://youtu.be/1CiSy-eCyd4","15 3
https://youtu.be/5QWR84E4JuQ",7,31,"10
https://youtu.be/LPPgm2yedDU",3,"HBFA
https://youtu.be/lJYkO1FuDew",14,"4
https://youtu.be/GkDI5cQeDso","85400
https://youtu.be/4yNXwc2Y7yo",45  15610,8,100,150,250 299,"42
https://youtu.be/JRov4OUtjF0",55,2 3,"1 4409981
2 4410019
3 4410041
4 4410047
5 4410061
6 4410079
7 4410097
8 4410101",49867 10002885,2919 299988174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,8,4,"128
https://youtu.be/qPb9TxJ8LvA","2
https://youtu.be/ZVgHI0vq9HM",4,"62305
https://youtu.be/jEOVQYBSFSA","1
https://youtu.be/0RCXbVUKVy0","15
https://youtu.be/IbXhOuxlG-I",9,"1008
https://youtu.be/BymGReWgvCA","30
https://youtu.be/DkhKsp8vH5s",2,95,"12
https://youtu.be/nN1phO5RubQ",3,"224
https://youtu.be/WaC9DaVzAbY",14,"3
https://youtu.be/u1wwStH_rbU","48
https://youtu.be/wGLNLPQfc3o",62730 24,840 82,15,17 30,21,"31
https://youtu.be/ojz1LMFYxPU",377,W 4,"1 3614033
2 3614041
3 3614057
4 3614087
5 3614099
6 3614101
7 3614111",38 884877115,963 302658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,15,2,"92
https://youtu.be/GNi8BODsclE","4
https://youtu.be/IbLFOlkbkGo",3,"12601
https://youtu.be/AU9mtPkS2x0","6
https://youtu.be/KjCQFWia8XQ","180
https://youtu.be/Lq-xBNmiiSc",1380,"765
https://youtu.be/H2DjKsouFR8","61
https://youtu.be/OsluXfdd5JA",12,28,"21
https://youtu.be/EQrME4zCfW4",2,"240
https://youtu.be/JJbvxxJ6dRg",64,"2
https://youtu.be/j3g-EbF-Goc","33
https://youtu.be/k3GBcEgsDc8",2679 14728918,778 80,3,2 19,18,"40
https://youtu.be/Ko6o0_BpMv0",28,9 5,"1 6638227
2 6638231
3 6638249
4 6638251
5 6638263
6 6638273
7 6638299
8 6638321",15 133397333,3852 399982040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,10,3,"386
https://youtu.be/pSPq0Y-MROI","2
https://youtu.be/N5VrlbpBrho",1,"200
https://youtu.be/MBfmAgoESvE","3
https://youtu.be/bb4Wa0PLmZY","18
https://youtu.be/-ty0QjLQuJQ",A52,"11504
https://youtu.be/yg51abGctqI","56
https://youtu.be/v8uh5IujBYY",12,6,"17
https://youtu.be/ApjQqAsEbXk",3,"248
https://youtu.be/lCqSkjAqXIs",14,"1
https://youtu.be/qb-LJJAX1uI","91
https://youtu.be/9TngGODMzsM",476 2183841,875 210,6,14 22,21,"11
https://youtu.be/s1rvRCqNB-A",70,S 6,"1 5336753
2 5336761
3 5336789
4 5336797
5 5336801
6 5336813
7 5336831
8 5336833",423 501,1320 404632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,16,2,"114
https://youtu.be/D3-KuLtAzOQ","1
https://youtu.be/1ZkxNqiaZhk",2,"192324
https://youtu.be/LOvVTa7Be_k","16
https://youtu.be/VZ-s88aJIc0","160
https://youtu.be/OcWktcjf0Qo",A148,"768
https://youtu.be/VXyB8aaJR6w","35
https://youtu.be/mLuyawJOaVw",5,139,"186
https://youtu.be/OW4FxZjZ9eg",1,"252
https://youtu.be/JSOy3MdYyDw",12,"3
https://youtu.be/X_KK1XJPwJ4","384
https://youtu.be/nHBcqOW7mF0",2539 14942988,859 193,7,22 24,21,"6
https://youtu.be/bvWBhHYXlhs",21,K 7,"1 5962477
2 5962499
3 5962519
4 5962547
5 5962549
6 5962573
7 5962577",3851 32,3852 399981558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,10,4,"38
https://youtu.be/-gmSituoSBE",2,9593,"15
https://youtu.be/sSBwtviosRI","512
https://youtu.be/zp_1mxUeXV4","35
https://youtu.be/_J7dzyeRhcc",A50,"2560
https://youtu.be/YbMNf3qX7Zs","16
https://youtu.be/Bradkmo-ClM",1,18,"113
https://youtu.be/l_GqHD0h_V0",4,"252
https://youtu.be/5S9TfrydaXM",16,"1
https://youtu.be/FwDareOiXOk","575
https://youtu.be/jdWLMIRqyTk ",2046 9555327,1216 196,8,28 30,27,"11
https://youtu.be/IuH_Uz5OMys",12,J 5,"1 5408309
2 5408311
3 5408323
4 5408341
5 5408357
6 5408383
7 5408387",7380 285,1332 406773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,11,2,"50
https://youtu.be/mkw65qYbCrU",1,3959,"9
https://youtu.be/mSA6jWKRfDs","1024
https://youtu.be/M9Z4SEbRVJI","96
https://youtu.be/iwL8vzzIDfY",A170,"409
https://youtu.be/jZZa0plTUHU","14
https://youtu.be/20cgZzywdZM ",5,22,"40
https://youtu.be/YljCpsb7EHw",3,"248
https://youtu.be/3q2QE0NtKq4",7,"2
https://youtu.be/U4YAD6twzjw","77
https://youtu.be/nY7FumJY-eY",498 2284029,1024 276,4,3 23,22,"2
https://youtu.be/89OvY6NAfpc",38,V 8,"1 6080069
2 6080131
3 6080141
4 6080147
5 6080149
6 6080153
7 6080161",64 159,351 357914111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,22,4,"10
https://youtu.be/clilTx-HTuc",3,9390,"25
https://youtu.be/7UGf7rC1JME","256
https://youtu.be/ilM2r8FlT74","32
https://youtu.be/fpkSV736Kgc",A26,"1584
https://youtu.be/VTN9ozNvYwE","21
https://youtu.be/Aec3DkfV5wI",7,32,"46
https://youtu.be/lSf5kW51rHo",4,"240
https://youtu.be/oH53tdYcVcE",9,"4
https://youtu.be/L3RefoP4K-I","137
https://youtu.be/mgVB0wx05g8",2263 10777692,779 76,7,11 25,24,"160
https://youtu.be/gN7HL7lS4TY",6,1 9,"1 7178609
2 7178617
3 7178621
4 7178623
5 7178627
6 7178653
7 7178657
8 7178659",20164 63,115 107374272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"55
https://youtu.be/zi9YceSFQao",4,"38
https://youtu.be/KFqW_OKTChY",2,1609,"20
https://youtu.be/kgln67KISzw","810
https://youtu.be/BIFKe_2QskI","112
https://youtu.be/zgM1o2c6dLk",A234,"576
https://youtu.be/ggQIB-K19Rk","10
https://youtu.be/5ZzOOZ1mTqk",3,7,"51
https://youtu.be/g8ceh9RZkPA",1,"224
https://youtu.be/xtzQRhCsejU","6,9,10,12","2
https://youtu.be/7oUQPJkQQV8","100
https://youtu.be/UscWhvCwjhg",3769 20230104,731 40,8,12 29,28,18,20,E 11,"1  3532147
2  3532121
3  3532103
4  3532091
5  3532049
6  3532033
7  3532021
8  3532019
9  3532007",55255 266,925 5036375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"30
https://youtu.be/gosRqfpru_E",2,"138210
https://youtu.be/BWgTw4In_ss",3,2499,"49
https://youtu.be/xpSjsbVOfUE","2160
https://youtu.be/W1EgJ7n0rN8","9
https://youtu.be/NGn1BgTbglM",A10,"1125
https://youtu.be/XsJ6fdC8_Ns","19
https://youtu.be/DkeTkcm_p4Q",5,98,"23
https://youtu.be/5rYkYKg3VGE",1,"192
https://youtu.be/zQdSJ4RIniE","7,8,10,14","3
https://youtu.be/JjdaOjetFSs","33
https://youtu.be/lTBd_PPAytI",646 3312617,796 52,8,20 31,30,"15
https://youtu.be/B_r7kOK3PJo?t=14248",8,0 14,"1 2532157
2 2532143
3 2532137
4 2532113
5 2532109
6 2532107
7 2532083
8 2532071
9 2532067
10 2532007",7347 99,850 5036250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"46
https://youtu.be/3e29ulHXTEw",4,"1091030
https://youtu.be/1L12e6xxJTA",2,9964,"36
https://youtu.be/zJKSpJI0m-U","675
https://youtu.be/yTuLEqt-rls","60
https://youtu.be/knJG12Yh090",A106,"175
https://youtu.be/hstQbEpo5_U","11
https://youtu.be/ACZpQrVh1uw",6,20,"2300
https://youtu.be/Nbl16zl_0D8",3,"128
https://youtu.be/QuZcKWd06RA",12,"1
https://youtu.be/6Tk31Y9R_K0","27
https://youtu.be/FE2YXMgnLtw ",3014 13692938,974 306,10,5 11,8,78,88,O 13,"1 1532143
2 1532131
3 1532123
4 1532117
5 1532107
6 1532093
7 1532081
8 1532077",68 33,5 317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"8
https://youtu.be/nMGmFsnn8cA",2,"203360
https://youtu.be/qJC6XwYNd4w",1,5300,"36
https://youtu.be/R-Im9Gcc31k","450
https://youtu.be/3E3Why1m2hA","600
https://youtu.be/dlXGVBgecd0",À122,"875
https://youtu.be/5w6gK09SOuI","24
https://youtu.be/puEYziekuG0",2,19,"16
https://youtu.be/GWmiCucU5x0",2,"224
https://youtu.be/YQBgWGzz0sY",9,"3
https://youtu.be/BYwGwE0kKd8","14
https://youtu.be/f6nC8BkvD1I",986 5368496,960 205,7,4 7,8,16,38,A 23,"1   2532007
2   2532067
3   2532071
4   2532083
5   2532107",80 35,1246 403229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"16
https://youtu.be/-PQxKDNpJeY",3,"5398550
https://youtu.be/4Vwt9NWX7l8",3,1048,"55
https://youtu.be/rGKeZjAy8Ik","75
https://youtu.be/4EE3yxKqCNI","10
https://youtu.be/pNphsnmeq3E",À48,"250
https://youtu.be/cL_4uEKEYNc","66
https://youtu.be/FTNvsQtOlPk",3,11,"6
https://youtu.be/EwAtwQjxH-E",2,"192
https://youtu.be/UTHX-dRDPsk",11,"4
https://youtu.be/NKAv0rhlonA","16
https://youtu.be/lIl6UvCV1fk",7896 225,778 72,16,7 11,1,17,36,V 28,"1 2532007
2 2532067
3 2532107
4 2532137
5 2532157",35 44,78931 314825807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"36
https://youtu.be/3-w6fh5zb7c",3,"3088000
https://youtu.be/s6rzSovZfNI",2,169,"50
https://youtu.be/O0UM0LOXImQ","300
https://youtu.be/a-Hce0C30Rk","48
https://youtu.be/S_FeRkmCO3s",Á2,"1250
https://youtu.be/txltBxvcb3s","5
https://youtu.be/_dcICj0k0VQ",3,120,"41
https://youtu.be/uaH9Aee8qHc",4,"192
https://youtu.be/UgvasPAg7Ng",5,"2
https://youtu.be/kC8f98u_5Mo","164
https://youtu.be/9yh_9VYt3r4",55527 10958 ,1144 448,13,14 27,14,294,110,Z 41,"1 2532007
4 2532083
7 2532113
10 2532157",41 47,101335 315820773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"45
https://youtu.be/_eN7KINo0gA",1,"123900
https://youtu.be/1V-gEq_vAvI",1,395,"48
https://youtu.be/lBcdloIHR6k","256
https://youtu.be/EaB1Lzh3NmY","36
https://youtu.be/v2-CC4IHQ2M",À76,"676
https://youtu.be/ug0L7yFSONg","24
https://youtu.be/8llBugVbGVc",5,39,"23
https://youtu.be/00lALVMwbvo",2,"224
https://youtu.be/U109QOygdRQ",7,"4
https://youtu.be/lUFppakB5qo","49
https://youtu.be/EBJcHPEr2vs",666774 1538,1072 440,23,22 36,35,83,133,G 34,"1 195193
2 195493
3 195593
4 195893
5 196193",10358 1688,453 3695118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"25
https://youtu.be/Greca5dxHEY",4,"941450
https://youtu.be/udAM05g9eZA",3,953,"48
https://youtu.be/3n7u1YdERsU","256
https://youtu.be/dQSgfnJaTr0","50
https://youtu.be/qGJeJNjNnlE",À7,"17576
https://youtu.be/vV4_lcbEh_Q","10
https://youtu.be/cAr71I-GsSQ",11,31,"18
https://youtu.be/pBX1mqHCKtU",3,"240
https://youtu.be/65aM3IRz3p0",112,"2
https://youtu.be/XIA0cHDlGnE","22
https://youtu.be/sXfXVegqXwg",899954 5195,1296 648,19,18 30,29,39,280,O 63,355 22088,5765 22703, 4908 134271196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"20
https://youtu.be/6rw1Q3-zbW4",1,"162960
https://youtu.be/Uqmx5zrx35o",4,967,"20
https://youtu.be/tTlzXcDbz8M","4
https://youtu.be/d99UIHQKhXU","90
https://youtu.be/62ib9r03gvw",À42,"144
https://youtu.be/J75pWkpLRrw","21
https://youtu.be/4CWY7641uI0",7,282,"31
https://youtu.be/PXvd3G0M3F4",3,"224
https://youtu.be/Pxv2DWfPRK0",24,"3
https://youtu.be/HmOQLXbUyoY","216
https://youtu.be/mBVzRSbImeU",233 2205,1176 640,16,15 25,24,24,13,7 100,262 14888,4717 5538526,218073 1874142240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"25
https://youtu.be/EBTetcMvDAs",2,"63325
https://youtu.be/l2cmdP2vpqo",4,806,"24
https://youtu.be/CrLGeesVa40","1
https://youtu.be/7D6V858ixbM","4
https://youtu.be/H-KSQPrYyfI",Á9,"250
https://youtu.be/vE_BqdLpZl4","9
https://youtu.be/JipBUNCecD8",6,7,"51
https://youtu.be/Vak5-dX3syI",4,"192
https://youtu.be/Hfd9x5HEzm4",114,"4
https://youtu.be/D0uktx0lJBE","13
https://youtu.be/gKDGg9gAtNo",37071 63249,1256 472,18,17 28,27,6,18,K 137,238 4488,"99 14
https://youtu.be/DqXIo7pHk3A",412891 1249650958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"8
https://youtu.be/eQAjl6ve69s",3,"301014
https://youtu.be/Tm21WlnQJ7s",3,122,"23
https://youtu.be/DZAkSuSTunk","3
https://youtu.be/yDINy3lTDME","42
https://youtu.be/5oh_-Zhy6FU",Á14,"324
https://youtu.be/nz9NP9--o90","21
https://youtu.be/598KdkZtEPo",4,8,"15
https://youtu.be/wHzEIZh07iQ",1,"0
https://youtu.be/Eqy0goEbmGE",53,"2
https://youtu.be/bnxQbm3u814","6
https://youtu.be/pfd5iJ_FIXw",12524 3598,1304 664,16,15 26,25,13,104,S 153,"6 3
28 5
496 9
8128 13
",4 93,115 1365890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"35
https://youtu.be/vaqHYMGTNZM ",2,"53835
https://youtu.be/9DtUrX1k1DY",3,217,"13
https://youtu.be/eIvYx5ievKc","9
https://youtu.be/sMInVCi08bE","144
https://youtu.be/kF4MSeyGOmo",À2,"73
https://youtu.be/iNtiPulBKpY","39
https://youtu.be/h-FNsgZhL5Q",2,33,"18
https://youtu.be/I4Lxl2WnO9U",2,"192
https://youtu.be/NEDSYGXhlfE",7,"2
https://youtu.be/iLgAFJ1k95Y","7971615
https://youtu.be/m-PgH5efE7c",290 1936,1021 222,18,17 29,28,11,169,S 4500,2362,"210 2000251
https://youtu.be/1sTNUjverpE",14 99989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"8
https://youtu.be/q2V_mKh0Z9c",1,"250150
https://youtu.be/8fB5YWCb24U",1,921,"1800
https://youtu.be/oTKva-VAhvs","36
https://youtu.be/C7hpN9mGIGI","5
https://youtu.be/Zey9VAy8igM",Á9,"376
https://youtu.be/y1Sasu4I17g","51
https://youtu.be/7l2nDiIVrg8",3,66,"36
https://youtu.be/RjKGMIPWQMA",4,"224
https://youtu.be/4FDz3hMtXsc",5,"4
https://youtu.be/bfT6OKzm_g0","3702
https://youtu.be/iZENyTQvXwk",20865 89997,967 25,22,21 35,34,105,90,"2 3
7 3
7 3
5 3",2310 5,8601 28,17 70416562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"5
https://youtu.be/2xx5k_syXck",4,"140150
https://youtu.be/TIuHGJ784J8",3,639,"16
https://youtu.be/aehaFswGfiI","27
https://youtu.be/Bq-uY_d1t6U","4
https://youtu.be/q7ySyOnb3aI",Á4,"513
https://youtu.be/340ySQIuIVQ","12
https://youtu.be/nUErPXAICJs",1,21,"76
https://youtu.be/WARez7BULOw",1,"224
https://youtu.be/yfZxA26zbjc",7,"3
https://youtu.be/vc5QoTRcSHc","812
https://youtu.be/GhPkctUpPoM",5272 99879,811 201,19,18 31,30,102,124,"W 4
0 4
7 4",4953,8 338,19437 50211537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"13
https://youtu.be/IzwmzqiRUnk",1,"332
https://youtu.be/u8unQJrQm2o","4
https://youtu.be/Si0X9K3pkPY",298,"14
https://youtu.be/wz92-4HyAUE","8
https://youtu.be/YlHKZ9uQSUY","3
https://youtu.be/W9csah_zn0Y",Á13,"487
https://youtu.be/on2zVwd7soU","17
https://youtu.be/OlJ2HZZmJ3o",20,15,"46
https://youtu.be/VoeZsViwKxQ",2,"240
https://youtu.be/wqA7mUsa03g",11,"2
https://youtu.be/u8sIAloFvk0","136
https://youtu.be/lhjV0MZ--pg",16734 29874,785 176,21,20 34,33,307,558,"9 5
N 5",22567,8 324,21 51023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
